id,title,director,year,country,image,synopsis
226,FAKING IT,"Carter Covington, Dana Goodman ", 2014,Etats-Unis,https://images.mubicdn.net/images/film/215737/cache-371393-1536900592/image-w1280.jpg?size=400x,"After numerous attempts of trying to be popular two best friends decide to come out as lesbians, which launches them to instant celebrity status. Seduced by their newfound fame, Karma and Amy decide to keep up their romantic ruse."
227,LIFE PARTNERS,Susanna Fogel , 2014,Etats-Unis,https://images.mubicdn.net/images/film/123213/cache-110476-1445962759/image-w1280.jpg?size=400x,Sasha and Paige's co-dependent friendship is tested as Paige gets serious with a guy for the first time.
228,UNGA SOPHIE BELL,Amanda Adolfsson , 2014,Suede,https://images.mubicdn.net/images/film/134880/cache-122555-1447631713/image-w1280.jpg?size=400x,"After high school graduation, life is finally going to begin...at least that's how best friends Sophie and Alice feel about their upcoming move to Berlin. But these dreams are shattered when Alice suddenly and mysteriously disappears."
229,ANATOMY OF A LOVE SEEN,Marina Rice Bader , 2014,Etats-Unis,https://images.mubicdn.net/images/film/136464/cache-130261-1456341559/image-w1280.jpg?size=400x,"Two young actresses fall in love with each other while filming a lesbian love scene, then break up months later, and then are forced to reunite in order to re-shoot the love scene for the movie's distribution."
230,DYKE HARD,Bitte Andersson , 2014,Suede,https://images.mubicdn.net/images/film/119971/cache-105137-1590469316/image-w1280.jpg?size=400x,"A failed lesbian rock group on their way to a battle of the bands team up with a thaiboxer and together they go through all kinds of adventures with ghosts, ninjas, cyborgs, prison breaks, evil roller-derby girls, motorcycle gangs and a mysterious billionaire."
231,GIRLTRASH: ALL NIGHT LONG,Alexandra Kondracke , 2014,Etats-Unis,https://images.mubicdn.net/images/film/137491/cache-185605-1481016109/image-w1280.jpg?size=400x,"The story of five girls and one epic night. The girls will find love, lust, girl-fights, rock and roll, and a whole lot of stoned sorority girls."
232,OPEN WINDOWS,Michele Masse , 2014,Espagne,https://images.mubicdn.net/images/film/133267/cache-118761-1445970194/image-w1280.jpg?size=400x,"In Madrid and in Paris, Boti, Empar, Micheline and Jocelyne, four lesbian women in their seventies, tell of their fears, their desires, their differences. They are still active, or activists, and refuse to be pushed aside because of their age."
233,WHO'S AFRAID OF VAGINA WOLF?,Anna Margarita Albelo , 2013,Etats-Unis,https://images.mubicdn.net/images/film/79271/cache-73878-1445935297/image-w1280.jpg?size=400x,"Anna, realisatrice cubo-americaine lesbienne, a sacrifie sa vie amoureuse pour sa carriere cinematographique, mais, realisant qu'en definitive elle n'a ni une ni l'autre, decide de tourner un film autobiographique."
234,VIOLETTE LEDUC: IN PURSUIT OF LOVE,Esther Hoffenberg , 2013,France,https://images.mubicdn.net/images/film/133858/cache-119976-1445971295/image-w1280.jpg?size=400x,"Violette Leduc was a controversial author. Her memoir The Bastard became an enormous literary success. Through her work, she confronted the experience of being an illegitimate child, homosexuality, abortion, and female desire, all scandalous and indecent subjects for macho 1950s France."
235,LIZ IN SEPTEMBER,Fina Torres , 2014,Venezuela,https://images.mubicdn.net/images/film/179074/cache-247511-1555570660/image-w1280.jpg?size=400x,"Every year, Liz, a hardcore party girl and womanizer, celebrates her birthday with her friends at a Caribbean beach retreat. This year is different. She is sick but hates pity, so she hides her terminal illness. When a young woman outsider arrives, Liz friends dare her to seduce her."
236,IN HIDING,Jan Kidawa-Blonski , 2013,Pologne,https://images.mubicdn.net/images/film/153124/cache-133488-1460912053/image-w1280.jpg?size=400x,"During World War Two, Janka is hiding a young Jewish girl named Ester, and an unusual bond is created between them."
237,CONCUSSION,Stacie Passon , 2013,Etats-Unis,https://images.mubicdn.net/images/film/102409/cache-68538-1445931543/image-w1280.jpg?size=400x,"Apres avoir recu un coup sur la tete, Abby decide qu'elle n'en peut plus ; sa vie doit arreter de se resumer a << la maison, les enfants, l'epouse >>. Il lui faut davantage : elle a besoin d'etre Eleanor."
238,VIOLETTE,Martin Provost , 2013,France,https://images.mubicdn.net/images/film/108725/cache-83601-1562601378/image-w1280.jpg?size=400x,La relation intense entre les ecrivains Violette Deluc et Simone de Beauvoir.
239,SOONGAVA,Subarna Thapa , 2012,Nepal,https://images.mubicdn.net/images/film/107155/cache-76830-1445937851/image-w1280.jpg?size=400x,https://mubi.com/fr/fr/films/soongava-dance-of-the-orchids
240,MARGARITA,"Laurie Colbert, Dominique Cardona ", 2012,Canada,https://images.mubicdn.net/images/film/97883/cache-61625-1445925878/image-w1280.jpg?size=400x,"Margarita the sexy nanny is muse to all. But when the family's financial crisis threatens to send her back to Mexico, the ""proposals"" start flying and everyone must come together to keep her in town in this Canuck dramedy."
241,LA VIE D'ADELE - CHAPITRE 1 & 2,Abdellatif Kechiche , 2013,France,https://images.mubicdn.net/images/film/103597/cache-94419-1690994517/image-w1280.jpg?size=400x,"A 15 ans, Adele a deux certitudes : elle est une fille, et une fille, ca sort avec des garcons. Le jour ou elle apercoit le bleu des cheveux d'Emma sur la grand'place, elle sent que sa vie va changer."
242,PALERME,Emma Dante , 2013,Italie,https://images.mubicdn.net/images/film/108253/cache-82762-1445939143/image-w1280.jpg?size=400x,"Une ruelle etroite de Palerme. Une lesbienne, partie de Rome avec sa compagne pour feter le mariage d'une amie, se retrouve bloquee au milieu de la chaussee face a Samira, la grand-mere d'une famille sicilienne aux moeurs frustres, 2 femmes qui s'affrontent obstinement au volant de leur voiture."
243,THE FOXY MERKINS,Madeleine Olnek , 2014,Etats-Unis,https://images.mubicdn.net/images/film/112884/cache-89162-1445945009/image-w1280.jpg?size=400x,Two lesbian hookers work the streets of New York. One is a down-on-her-luck newbie; the other is a beautiful--and straight--grifter who's an expert on picking up women.
244,BREAKING THE GIRLS,Jamie Babbit , 2012,Etats-Unis,https://images.mubicdn.net/images/film/104796/cache-74116-1445935482/image-w1280.jpg?size=400x,"Agnes Bruckner plays a college student who, when slandered by a hostile classmate, is befriended by a manipulative young woman (Madeline Zima) who proposes the perfect, untraceable crime -- to kill each other's archenemies."
245,STUD LIFE,Campbell X , 2012,Royaume-Uni,https://images.mubicdn.net/images/film/97881/cache-61623-1445925874/image-w1280.jpg?size=400x,Homophobia in urban London affects the lives of two best mates--a black lesbian stud and her gay male sidekick--and they are forced to reevaluate everything they know about love and friendship.
246,SUBMERGE,Sophie O'Connor , 2013,Australie,https://images.mubicdn.net/images/film/104795/cache-74115-1445935482/image-w1280.jpg?size=400x,"A Gen Y love story presented as a fetish sex drama, submerge explores the need of Gen Y for constant stimulation and instant gratification underpinned by a sense of entitlement. It pushes young adults to believe they can have it all..."
247,SEXUAL TENSION: VIOLETAS,"Marco Berger, Marcelo Briem Stamm ", 2013,Argentine,https://images.mubicdn.net/images/film/104667/cache-73877-1470816712/image-w1280.jpg?size=400x,"What are the rules that determine how attraction and desire are set free? Glances, unexpected smiles, confiding in unknown women. Long cherished fantasies, intimate friendships and unexpected meetings."
248,REACHING FOR THE MOON,Bruno Barreto , 2013,Bresil,https://images.mubicdn.net/images/film/104531/cache-73629-1568809712/image-w1280.jpg?size=400x,"En manque d'inspiration, la poetesse Elizabeth Bishop quitte New York pour retrouver une ancienne camarade d'universite emigree au Bresil. La, elle fait la connaissance de l'impetueuse architecte Lota. Une rencontre qui va redonner vie a sa creativite, mais egalement reveiller ses vieux demons."
249,GOOD AS YOU,Mariano Lamberti , 2012,Italie,https://images.mubicdn.net/images/film/269933/cache-553863-1591456659/image-w1280.jpg?size=400x,"Protested by Catholic organizations at the time of its release, this romantic comedy from Italy follows eight characters who cross paths on New Year's Eve in Rome. After a sudden power outage, the night takes a strange turn..."
250,AUDRE LORDE: THE BERLIN YEARS 1984-1992,Dagmar Schultz , 2012,Allemagne,https://images.mubicdn.net/images/film/95264/cache-56616-1445921888/image-w1280.jpg?size=400x,"A film portrait of Afro-American poet and writer Audre Lorde, who described herself as 'a lesbian, a feminist, black, a poet, mother and activist'."
251,PASSION,Yasuzo Masumura , 1964,Japon,https://images.mubicdn.net/images/film/21941/cache-159857-1692097283/image-w1280.jpg?size=400x,"A childless housewife falls in love with a beautiful model and pursues a lesbian passion that erupts into obsession, adultery, deceit, blackmail and (possibly) murder when all four principles involved collide."
252,YOU & ME FOREVER,Kaspar Munk , 2012,Danemark,https://images.mubicdn.net/images/film/100661/cache-65672-1561316432/image-w1280.jpg?size=400x,"Laura and Christine are best friends. They have been best friends forever. One day they meet the mysterious and fascinating Maria, and their friendship is put to the test. For Laura it is a meeting that changes the world she thought she knew so well."
253,LES ADIEUX A LA REINE,Benoit Jacquot , 2012,France,https://images.mubicdn.net/images/film/93567/cache-49568-1445918507/image-w1280.jpg?size=400x,"Sumptuous and intimate, Benoit Jacquot's portrayal of court life at Versailles during four crucial days of the French Revolution is a fascinating picture of social breakdown--mounting chaos calmly observed."
254,A PERFECT ENDING,Nicole Conn , 2012,Etats-Unis,https://images.mubicdn.net/images/film/121505/cache-150116-1465902990/image-w1280.jpg?size=400x,"The movie immediately introduces the two main protagonists. Paris (Jessica Clark) is a young, dark-haired woman who works as a high-priced escort/call-girl but is a creative artist by nature. Rebecca (Barbara Niven), a blond, straight up, middle-aged Stepford wife."
255,TWO MOTHERS,Anne Zohra Berrached , 2013,Allemagne,https://images.mubicdn.net/images/film/108139/cache-82529-1445938914/image-w1280.jpg?size=400x,"Katja and Isabella decide to have a child. However, like many lesbian couples they soon discover that this is much more difficult than they first imagined. Citing legal reasons, most of the sperm banks and fertility clinics refuse to treat them."
256,THE FIREFLY,Ana Maria Hermida , 2013,Colombie,https://images.mubicdn.net/images/film/178727/cache-246538-1502759026/image-w1280.jpg?size=400x,"After the sudden death of her estranged brother, Lucia accidentally meets his fiancee and falls in love with her."
257,GOLDEN GATE GIRLS,Louisa Wei , 2013,Hong Kong,https://images.mubicdn.net/images/film/279267/cache-588981-1600668054/image-w1280.jpg?size=400x,"Surprising or not, the first female director of Southern China was a San Francisco native and an open lesbian. Esther Eng, 1914-70, was a true pioneer. She made 11 Cantonese language films: one in Hollywood, five in China, three in California, one in Hawaii and one in New York, all before, during an"
258,YOUNG & WILD,Marialy Rivas , 2012,Chili,https://images.mubicdn.net/images/film/93223/cache-48307-1527223582/image-w1280.jpg?size=400x,"17-year-old Daniela, raised in the bosom of a strict Evangelical family and recently unmasked as a fornicator by her shocked parents, struggles to find her own path to spiritual harmony."
259,THE GUEST HOUSE,Michael Baumgarten , 2012,Etats-Unis,https://images.mubicdn.net/images/film/136259/cache-155076-1466416399/image-w1280.jpg?size=400x,"Before leaving for college, a recently dumped goth girl's life changes forever when she falls in love with a smart and professional college grad who is staying in the family's guest house."
260,KYSS MIG - UNE HISTOIRE SUEDOISE,Alexandra-Therese Keining , 2011,Suede,https://images.mubicdn.net/images/film/91863/cache-45225-1543001118/image-w1280.jpg?size=400x,"En Suede, une famille recomposee : Lasse, le pere de Mia et Oskar, va epouser Elisabeth, la mere de Frida, et organise a cette occasion une fete. Venue de Stockholm ou elle vit avec son fiance depuis plusieurs annees, Mia, qui rend rarement visite a son pere..."
261,FOR 80 DAYS,"Jon Garano, Jose Maria Goenaga ", 2010,Espagne,https://images.mubicdn.net/images/film/29700/cache-33911-1445894855/image-w1280.jpg?size=400x,"70-year-old Axun doesn't get along with her husband, her daughter, or her friends. She lives out her monotonous days on a farm, until the day she comes across Maite again, someone she hasn't seen for fifty years..."
262,JACK & DIANE,Bradley Rust Gray , 2012,Etats-Unis,https://images.mubicdn.net/images/film/88090/cache-787665-1694778428/image-w1280.jpg?size=400x,"Le garcon manque Jack et la petillante Diane sont deux adolescentes qui tombent eperdument amoureuses lors d'un ete a New York. Lorsque Diane revele qu'elle doit partir etudier en Europe, Jack tente de repousser Diane. Leur amour naissant et leurs desirs sexuels sont mis a l'epreuve."
